alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
Standard,0.2,random forest,0.81,0.91,0.84,0.9,0.19,0.09,0.16,0.19,0.88,0.82,0.73,"CRAJ730103, KLEP840101","[34, 42, 46, 68, 70, 79, 81, 93, 132, 140, 145, 152, 162, 165, 169, 182, 185, 186, 188, 189, 190, 208, 221, 251, 252, 266, 270, 272, 273]",58
7-Risler88,0.2,mlp,0.8,0.92,0.84,0.9,0.2,0.08,0.16,0.21,0.88,0.82,0.73,"KLEP840101, ROBB760108, CHAM830103, FAUJ880108, CHAM830108, FASG760105","[34, 42, 46, 68, 70, 79, 81, 93, 132, 140, 152, 162, 165, 169, 182, 185, 186, 189, 190, 221, 251, 266, 270, 272, 273]",150
22-Li 2003,0.2,random forest,0.81,0.91,0.83,0.9,0.19,0.09,0.17,0.2,0.88,0.82,0.73,"CASG920101, CHAM830105, DAYM780101, KLEP840101, FAUJ880105, CHAM830104","[34, 42, 46, 68, 70, 79, 81, 93, 140, 152, 162, 165, 169, 182, 185, 186, 189, 190, 221, 251, 266, 270, 272, 273]",144
26-Anderson 2004,0.2,random forest,0.81,0.91,0.83,0.9,0.19,0.09,0.17,0.2,0.88,0.82,0.73,"KLEP840101, ROSM880103, CHAM830103, MEIH800101, DAWD720101","[34, 42, 46, 68, 70, 79, 81, 93, 132, 140, 152, 162, 165, 169, 182, 185, 186, 189, 190, 221, 251, 266, 270, 272, 273]",125
SE-B(14),0.2,mlp,0.8,0.91,0.83,0.9,0.2,0.09,0.17,0.21,0.87,0.82,0.72,"RICJ880109, FASG760105, BIOV880102, KLEP840101, VENT840101, FAUJ880105, CHAM830108","[34, 42, 46, 68, 70, 79, 81, 93, 140, 152, 162, 165, 169, 182, 185, 186, 189, 190, 221, 251, 266, 270, 272, 273]",168
1-Mahler66,0.2,mlp,0.79,0.91,0.83,0.89,0.21,0.09,0.17,0.22,0.87,0.81,0.71,"KLEP840101, CHAM830104, CHAM830103, MITS020101, ANDN920101","[34, 42, 46, 68, 70, 81, 93, 140, 152, 162, 169, 182, 186, 189, 221, 251, 266, 270, 272, 273]",100
3-Robson76,0.2,mlp,0.79,0.91,0.83,0.89,0.21,0.09,0.17,0.22,0.87,0.81,0.71,"CHAM810101, VENT840101, FAUJ880112, FAUJ880105, CHAM830104, FAUJ880111, QIAN880124","[34, 42, 46, 68, 79, 81, 93, 140, 152, 162, 165, 169, 182, 186, 189, 221, 251, 252, 270, 272, 273]",147
6-Taylor86,0.2,mlp,0.8,0.9,0.82,0.89,0.2,0.1,0.18,0.2,0.87,0.81,0.71,"CHAM830107, FINA910103, CHAM830104, MITS020101, FINA910102, FAUJ880112, KARS160120","[34, 42, 46, 68, 70, 79, 81, 93, 132, 140, 152, 162, 165, 169, 182, 186, 189, 221, 251, 266, 270, 272, 273]",161
8-Crippen90,0.2,random forest,0.8,0.91,0.83,0.89,0.2,0.09,0.17,0.21,0.87,0.81,0.72,"ANDN920101, CHAM830103, CHAM830107, FAUJ880103, KLEP840101","[34, 42, 46, 68, 132, 140, 145, 162, 182, 186, 188, 189, 208, 251, 252, 266, 270, 272, 273]",95
10-Thomas96,0.2,mlp,0.79,0.91,0.83,0.89,0.21,0.09,0.17,0.22,0.87,0.81,0.71,"CHAM830107, FAUJ880111, CHAM830103, FAUJ880112, KLEP840101","[34, 42, 46, 68, 81, 93, 140, 152, 162, 169, 186, 189, 251, 272, 273]",75
12-Mirny99,0.2,mlp,0.8,0.91,0.83,0.89,0.2,0.09,0.17,0.21,0.87,0.82,0.72,"BEGF750102, WILM950102, CHAM830107, ANDN920101, KLEP840101, HOPT810101","[34, 42, 46, 68, 70, 81, 140, 152, 162, 169, 182, 185, 186, 189, 221, 251, 270, 272, 273]",114
19-Liu 2002,0.2,mlp,0.8,0.91,0.82,0.89,0.2,0.09,0.18,0.21,0.87,0.81,0.71,"CHAM830104, CHAM830105, FAUJ880110, CHAM830107","[34, 42, 46, 68, 79, 81, 140, 152, 162, 165, 169, 186, 189, 251, 252, 272, 273]",68
20-Cannata 2002,0.2,mlp,0.8,0.91,0.83,0.9,0.2,0.09,0.17,0.2,0.87,0.82,0.72,"CHAM830104, FAUJ880105, HOPA770101, GRAR740101, KLEP840101, CHAM830105, FASG760105","[34, 42, 46, 68, 70, 79, 81, 93, 140, 152, 162, 165, 169, 182, 185, 186, 189, 190, 221, 251, 252, 266, 270, 272, 273]",175
21-Fan 2003,0.2,mlp,0.78,0.92,0.84,0.89,0.22,0.08,0.16,0.23,0.87,0.81,0.71,"CHAM830104, CHOC760102, KLEP840101, CHAM830105, QIAN880102, CHAM830107","[34, 42, 46, 68, 70, 79, 81, 93, 140, 152, 162, 165, 169, 182, 185, 186, 190, 221, 251, 266, 270, 272, 273]",138
28-Lenckowski 2007,0.2,random forest,0.81,0.91,0.83,0.9,0.19,0.09,0.17,0.2,0.87,0.82,0.72,"KLEP840101, FAUJ880112, FAUJ880105, CHAM830106, CHAM830108","[34, 46, 68, 70, 79, 81, 93, 132, 140, 145, 152, 162, 165, 169, 182, 186, 188, 189, 190, 208, 221, 251, 252, 270, 272, 273]",130
Polarizability,0.2,mlp,0.72,0.93,0.85,0.86,0.28,0.07,0.15,0.34,0.86,0.78,0.68,"ANDN920101, FAUJ880111","[34, 42, 46, 68, 70, 79, 81, 140, 152, 165, 169, 182, 186, 266, 270, 273]",32
